model_id,mean_rank_ic,median_rank_ic,icir,positive_ic_pct,top_bottom_spread,turnover_proxy,verdict,evidence
momentum_baseline,0.685489,0.651215,8.5686,187.1,NaN,0.35,RESEARCH_SIGNAL_DETECTED,SYNTHETIC_DATA
composite_baseline,0.61694,0.586093,7.7118,173.4,NaN,0.35,RESEARCH_SIGNAL_DETECTED,SYNTHETIC_DATA
ridge_ranker,0.0,0.0,0.0,50.0,NaN,0.35,ML_ADDS_NO_CLEAR_VALUE,INSUFFICIENT_EVIDENCE
elasticnet_ranker,0.0,0.0,0.0,50.0,NaN,0.35,ML_ADDS_NO_CLEAR_VALUE,INSUFFICIENT_EVIDENCE
lgbm_ranker,0.0,0.0,0.0,50.0,NaN,0.35,ML_ADDS_NO_CLEAR_VALUE,INSUFFICIENT_EVIDENCE
xgboost_ranker,0.0,0.0,0.0,50.0,NaN,0.35,ML_ADDS_NO_CLEAR_VALUE,INSUFFICIENT_EVIDENCE
